perl-www-robotrules 6.03-1
perl-xml-libxml 2.0213-1
perl-xml-namespacesupport 1.12-6
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-yaml 1.31-4
perl-yaml-libyaml 0.910.0-1
perl-yaml-tiny 1.76-3
phodav 3.0-4
phonon-qt6 4.12.0-6
phonon-qt6-vlc 0.12.0-6
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.7.3-1
plasma-activities-stats 6.7.3-1
plasma-bigscreen 6.7.3-1
plasma-browser-integration 6.7.3-1
plasma-desktop 6.7.3-1
plasma-disks 6.7.3-1
plasma-firewall 6.7.3-1
plasma-integration 6.7.3-1
plasma-keyboard 6.7.3-1
plasma-login-manager 6.7.3-1
plasma-nano 6.7.3-1
plasma-nm 6.7.3-1
plasma-pa 6.7.3-1
plasma-sdk 6.7.3-1
plasma-systemmonitor 6.7.3-1
plasma-thunderbolt 6.7.3-1
plasma-vault 6.7.3-1
plasma-welcome 6.7.3-1
plasma-workspace 6.7.3-1
plasma-workspace-wallpapers 6.7.3-1
plasma5support 6.7.3-1
plymouth 26.134.222-2
plymouth-kcm 6.7.3-1
pnpm 11.3.0-1
polkit 127-3
polkit-kde-agent 6.7.3-1
polkit-qt6 0.201.1-1
poppler 26.07.0-1
poppler-data 0.4.12-2
poppler-qt6 26.07.0-1
popt 1.19-2
portaudio 1:19.7.0-4
power-profiles-daemon 0.30-1
powerdevil 6.7.3-1
ppp 2.5.2-1
print-manager 1:6.7.3-1
prison 6.28.0-1
procps-ng 4.0.6-3
protobuf 35.1-1
protobuf-c 1.5.2-12
